dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
8061,2016-10-15 16:25:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.624,,,,,,,,,0.103,,,,,,,,0.183,,0.005,,,,0.006,,,,,,,,0.069,,,,,,,,,,,,,,,120.73,120.73
5938,2016-01-01 02:35:00-06,0.0,,,,,,,,,,,,,,,,,0.003,,,0.0,0.0,,,,0.005,,,,0.119,,,,,,,,,,0.0,,,,,,,0.034,,0.007,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,120.708,121.157
5938,2016-03-31 20:44:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,0.248,,,,,,,,,,0.0,,,,,,,0.163,,0.007,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,121.051,121.606
4934,2015-07-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.086,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.007,,,,,,,,0.006,,,,,,,,,,,,,,,120.141,120.477
4934,2016-06-30 23:59:00-05,1.92,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.538,,,,2.618,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.008,,,,,,,,0.103,,,,,,,,,,,,,,,120.501,121.295
9612,2014-07-01 00:00:00-05,2.115,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.51,,,,3.072,,,,,,,,,0.014,,,,,,,,,,0.042,,,,0.004,,,,,,,,0.077,,,,,,,,,,,,,,,119.502,121.079
9612,2015-02-28 23:59:00-06,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.393,,,,,,,,,0.013,,,,,,,,,,0.005,,,,0.003,,,,,,,,0.136,,,,,,,,,,,,,,,120.853,120.961
9836,2014-07-11 13:29:00-05,0.0,,,,,,,,,,,,,,,,,0.004,,,0.0,0.0,,,,0.007,,,,-1.445,,,,,,,,,0.0,0.007,,,,,,,,,0.005,,,,,,,,,,,,0.091,,,,,1.802,,,,,,,,,,121.395,121.541
9836,2015-06-30 23:59:00-05,0.0,,,,,,,,,,,,,,,,,0.004,,,0.0,0.0,,,,0.007,,,,0.345,,,,,,,,,0.0,0.011,,,,,,,,,0.005,,,,,,,,,,,,0.09,,,,,0.001,,,,,,,,,,120.476,120.931
6547,2014-10-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.362,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.008,,,,,,,,0.102,,,,,,,,,,,,,,,120.542,120.467
6547,2015-09-30 23:59:00-05,2.022,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.492,,,,2.8,,,,,,,,,0.0,,,,,,,,,,0.005,,,,0.008,,,,,,,,0.013,,,,,,,,,,,,,,,120.547,119.071
