dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
1417,2019-10-31 23:59:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.014,0.009,,,,0.153,,,,,,,,,0.007,,0.022,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,122.794,122.174
2096,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.746,,,,,,,,,0.002,-0.002,0.57,0.01,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,123.142,123.036
2096,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,,,,,0.002,,,,,0.005,,,,0.341,,,,,,,,,0.065,0.0,0.096,0.009,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,122.976,122.972
2318,2019-05-01 00:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.009,,,,0.828,0.025,0.004,0.04,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,-0.001,,,,,,,,,,,,0.003,,0.0,,122.988,122.446
2318,2019-10-31 23:59:00-05,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.111,,,,1.294,0.012,0.004,0.04,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,-0.002,,,,,,,,,,,,0.003,,0.0,,122.59,121.319
2358,2019-05-01 00:00:00-05,,,,,,0.001,,,,,,,,,,0.002,0.001,,,,,,0.001,,,,,,,0.035,0.0,,,,,,,,0.001,,,,,,,,0.003,,,,,,,,,,,,,0.003,0.0,,,,,,,,,,,,,0.0,,121.699,121.226
2358,2019-10-31 23:59:00-05,,,,,,0.001,,,,,,,,,,0.002,0.001,,,,,,0.001,,,,,,,0.033,0.0,,,,,,,,0.001,,,,,,,,0.001,,,,,,,,,,,,,0.003,0.0,,,,,,,,,,,,,0.0,,120.713,120.578
3000,2019-05-01 00:00:00-05,0.006,,,,,,,0.005,,,,,,0.075,,,0.001,,,,0.0,,0.0,,0.111,,,,,0.46,0.018,,,,,,,,0.003,0.004,,,,,,,0.014,,,,,,,,,,,,0.008,,,,,,,0.001,-0.002,,,,,,,,,122.343,122.258
3000,2019-10-31 23:59:00-05,0.006,,,,,,,0.003,,,,,,0.002,0.0,,0.001,,,,0.0,,0.0,,0.077,,,,,0.386,0.018,,,,,,,,0.004,0.004,,,,,,,0.016,,,,,,,,,,,,0.019,,,,,,,0.0,-0.002,,,,,,,,,122.43,122.692
3488,2019-05-01 00:00:00-05,0.0,,,,,0.001,,,,,,,,,,,0.0,,,,,,0.0,,,0.239,,,,0.396,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.067,,,,,-0.003,,,,,0.005,0.0,,,,122.701,123.229
3488,2019-10-31 23:59:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.092,,,,0.284,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.08,,,,,-0.003,,,,,0.005,0.0,,,,122.672,122.887
3517,2019-05-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.005,,,,,,,0.023,0.005,,0.944,,1.47,,,,,,,,,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,119.326,118.887
3517,2019-10-31 23:59:00-05,0.0,,,,,,,,,,,,,,,,,0.011,,,,,,,0.014,0.007,,0.008,,0.865,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,120.636,121.376
3700,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,0.148,,,,,,0.001,,,,,,,,,,0.145,,0.003,,,,0.006,,,,,,,,0.04,,,,,,,,,,,,,,,122.834,122.596
3700,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.121,0.001,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.04,,,,,,,,,,,,,,,123.084,122.874
3996,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.006,,,,0.74,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516,,0.011,,,,,,,,,,0.001,0.0,,0.018,,119.768,119.639
3996,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,0.005,,,,0.699,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586,,0.001,,,,,,,,,,0.001,0.0,,0.019,,119.68,119.532
4283,2019-05-01 00:00:00-05,,,,0.001,,,,,,,,,,,,0.102,0.0,,,,0.001,,0.0,,,,,,,0.895,,,,,,,,,0.02,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,122.528,121.508
4283,2019-10-31 23:59:00-05,,,,0.0,,,,,,,,,,,,0.09,0.0,,,,0.001,,0.001,,,,,,,0.494,,,,,,,,,0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,,,,,,,122.917,122.2
4550,2019-05-01 00:00:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.315,0.003,,,,,0.001,,,0.003,0.001,,,,,,,0.112,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.908,120.971
4550,2019-10-31 23:59:00-05,,,,,,,,,,,,,,,,,,,,,0.001,,0.0,,,0.021,,,,0.126,0.003,,,,,0.002,,,0.002,0.0,,,,,,,0.01,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,122.093,122.134
5058,2019-05-01 00:00:00-05,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,0.247,,,,0.0,,0.042,,,,,,,,,,,,,,0.03,,,0.0,,,,,,,0.0,0.001,,,,,-0.006,,,,,,,,,,121.714,121.671
5058,2019-10-31 23:59:00-05,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,1.735,,,,0.0,,1.598,,,,,,,,,,,,,,0.031,,,0.0,,,,,,,-0.002,0.004,,,,,-0.007,,,,,,,,,,123.329,122.431
5587,2019-05-01 00:00:00-05,0.043,,,,,,,,,,,,,,,,0.0,,,,0.002,0.003,0.0,,,0.361,,,,0.555,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,-0.003,,,,,,,,,,121.875,122.231
5587,2019-10-31 23:59:00-05,0.043,,,,,,,,,,,,,,,,0.0,,,,0.0,0.004,0.0,,,0.013,,,,0.192,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,-0.003,,,,,,,,,,122.048,122.146
5679,2019-05-01 00:00:00-05,,,,,,,,0.001,,,,,,0.003,,,,,,,,,,,,,,0.003,,0.382,,,,,,,,,0.038,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,119.885,120.03
5679,2019-10-31 23:59:00-05,0.104,,,,,,,0.011,,,,,,0.003,,,,,,,,,,,,0.015,,0.003,,0.587,,,,,,,,,0.162,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,120.751,121.0
5982,2019-05-01 00:00:00-05,,,,,,,,0.012,,,,,,,,0.009,0.001,,,,0.0,,0.0,,,,,,,5.232,3.609,,,,,,,,0.0,0.013,,,,,,,,,,,,,,,,,,,0.006,,0.404,,,,,,,,,,,,,0.001,,118.357,118.577
5982,2019-10-31 23:59:00-05,,,,,,,,0.008,,,,,,,,0.009,0.001,,,,0.0,,0.0,,,,,,,1.006,0.001,,,,,,,,0.001,0.0,,,,,,,,,,,,,,,,,,,0.006,,0.118,,,,,,,,,,,,,0.001,,117.445,118.178
5997,2019-05-01 00:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,0.367,,,,,,,,,0.002,,0.027,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.237,,0.031,,,,122.776,123.145
5997,2019-10-31 23:59:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.001,,0.0,,,,,0.004,,0.732,,,,,,,,,0.109,,0.051,,,,,,,,0.002,,,,,,,,,,,,,,,,,-0.003,,,,0.526,,0.0,,,,122.65,123.267
9053,2019-05-01 00:00:00-05,,,,,,,,,,,,,,0.084,,0.009,0.0,,,,0.0,,0.0,,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,,,,,,,,,,,0.417,,-0.002,,121.901,121.817
9053,2019-10-31 23:59:00-05,,,,,,,,,,,,,,0.006,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.117,,,,,,,,,,,0.494,,-0.002,,119.912,120.2
